Title,Publisher,Link,DiscountPCT,OriginalPrice,DiscountPrice,Discount_Endtime,Rating,Rating_count,Genre,ReleaseDate,Rating_Count
SAMURAI WARRIORS 5 Digital Deluxe Edition (Traditional Chinese),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-CUSA24097_00-SENGOKUMUSOU5DDX,0.5,792,396,14/2/2024 03:59 PM UTC,4.3,1.3k,Action,23/06/2021,1300
Samurai Warriors Sanada Maru (Japanese Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/JP0106-CUSA05992_00-ASIA000000000000,0.6,439,175.6,14/2/2024 03:59 PM UTC,4.68,719,Action,23/11/2016,719
SAMURAI WARRIORS: Spirit of Sanada (Chinese Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-CUSA07830_00-RIVERGAME0000000,0.6,461,184.4,14/2/2024 03:59 PM UTC,4.68,719,Action,30/03/2017,719
SAMURAI WARRIORS: Spirit of Sanada (English Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/UP4108-CUSA08011_00-ASIARGAME0000000,0.6,388,155.2,14/2/2024 03:59 PM UTC,4.68,719,Action,24/05/2017,719
WARRIORS ALL-STARS (English Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/UP4108-CUSA08090_00-ASIASTARGAMEUS00,0.75,467,116.75,14/2/2024 03:59 PM UTC,4.21,1.2k,Action,29/08/2017,1200
MUSOU Stars (Chinese Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-CUSA07471_00-ASIAPLACEHOLDER0,0.75,461,115.25,14/2/2024 03:59 PM UTC,4.21,1.2k,Action,30/03/2017,1200
WARRIORS OROCHI 3 Ultimate full game (Chinese Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-CUSA00907_00-OR2ULGAMETW00000,0.5,528,264,14/2/2024 03:59 PM UTC,4.71,7k,"Action, Action",30/07/2014,7000
WARRIORS OROCHI 3 Ultimate full game (Japanese Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/JP0106-CUSA00582_00-ASIAOR2ULGAMEJP0,0.5,528,264,14/2/2024 03:59 PM UTC,4.71,7k,Action,25/06/2014,7000
WARRIORS OROCHI 3 Ultimate full game (English),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/EP4108-CUSA00661_00-ASIAPSNBONUS0000,0.5,528,264,14/2/2024 03:59 PM UTC,4.71,7k,Action,03/09/2014,7000
WARRIORS OROCHI 4 Ultimate (Chinese Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-CUSA12656_00-ASIAWP0000000000,0.4,528,316.8,14/2/2024 03:59 PM UTC,4.57,3.2k,"Action, Action",18/12/2019,3200
WARRIORS OROCHI 4 Ultimate (English Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/UP4108-CUSA12653_00-ASIA000000000070,0.4,528,316.8,14/2/2024 03:59 PM UTC,4.57,3.2k,"Action, Action",16/02/2020,3200
WARRIORS OROCHI 4 Ultimate Upgrade Pack Deluxe Edition (English Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/UP4108-CUSA12653_00-ASIA000000000073,0.4,392,235.2,14/2/2024 03:59 PM UTC,4.25,8,Action,17/02/2020,0
WARRIORS OROCHI 4 Ultimate Upgrade Pack Deluxe Edition (Chinese Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-CUSA12656_00-ASIAPD0000000000,0.4,406,243.6,14/2/2024 03:59 PM UTC,4.52,33,Action,19/12/2019,33
WARRIORS OROCHI 4 Ultimate Deluxe Edition (Chinese Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-CUSA12656_00-ASIAWD0000000000,0.4,616,369.6,14/2/2024 03:59 PM UTC,4.57,3.2k,"Action, Action",18/12/2019,3200
WARRIORS OROCHI 4 Ultimate Deluxe Edition (English Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/UP4108-CUSA12653_00-ASIA000000000071,0.4,616,369.6,14/2/2024 03:59 PM UTC,4.57,3.2k,"Action, Action",16/02/2020,3200
"Castlevania Advance Collection (English, Japanese)",Konami Digital Entertainment Co.,https://store.playstation.com/en-hk/product/JP0101-CUSA28357_00-CASTLEVANIAGAMES,0.4,154,92.4,14/2/2024 03:59 PM UTC,4.77,989,Action,24/09/2021,989
Castlevania Anniversary Collection (Japanese Ver.),Konami Digital Entertainment Ltd.,https://store.playstation.com/en-hk/product/JP0101-CUSA15091_00-ASIA000000000000,0.8,212,42.4,14/2/2024 03:59 PM UTC,4.69,2.2k,Action,15/05/2019,2200
Castlevania Anniversary Collection (English Ver.),Konami Digital Entertainment Ltd.,https://store.playstation.com/en-hk/product/UP0101-CUSA15109_00-ASIA000000000000,0.8,157,31.4,14/2/2024 03:59 PM UTC,4.69,2.2k,Action,16/05/2019,2200
Castlevania Requiem:Symphony of the Night ＆ Rondo of Blood (English Ver.),Konami Digital Entertainment Ltd.,https://store.playstation.com/en-hk/product/UP0101-CUSA13434_00-ASIA000000000000,0.8,156,31.2,14/2/2024 03:59 PM UTC,4.68,9.2k,Action,29/10/2018,9200
Castlevania Requiem:Symphony of the Night ＆ Rondo of Blood (Japanese Ver.),Konami Digital Entertainment Ltd.,https://store.playstation.com/en-hk/product/JP0101-CUSA13783_00-ASIA000000000000,0.8,156,31.2,14/2/2024 03:59 PM UTC,4.68,9.2k,Action,29/10/2018,9200
Contra Anniversary Collection (English),Konami Digital Entertainment Ltd.,https://store.playstation.com/en-hk/product/EP0101-CUSA15488_00-ASIA000000000000,0.8,157,31.4,14/2/2024 03:59 PM UTC,4.31,1.9k,Action,12/06/2019,1900
CONTRA: ROGUE CORPS (English/Chinese/Korean Ver.),Konami Digital Entertainment Ltd.,https://store.playstation.com/en-hk/product/UP0101-CUSA15024_00-ASIAFULLGAME0000,0.8,265,53,14/2/2024 03:59 PM UTC,3.43,1k,Action,24/09/2019,1000
"SUPER BOMBERMAN R 2 PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Konami,https://store.playstation.com/en-hk/product/EP0101-PPSA07191_00-SUPERBOMBERMANR2,0.4,333,199.8,14/2/2024 03:59 PM UTC,3.62,115,"Action, Party",13/09/2023,115
"Teenage Mutant Ninja Turtles: The Cowabunga Collection PS4 & PS5 (English, Japanese)",Konami Digital Entertainment Ltd.,https://store.playstation.com/en-hk/product/HP0101-PPSA07184_00-TMNTCOWABUNGAXXX,0.4,267,160.2,14/2/2024 03:59 PM UTC,4.63,704,"Fighting, Action",30/08/2022,704
"Kona II: Brume (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Prime Matter,https://store.playstation.com/en-hk/product/EP6713-PPSA05385_00-KONA2KOCHPS5EU00,0.3,238,166.6,14/2/2024 03:59 PM UTC,4.57,113,Adventure,18/10/2023,113
"Let's Sing ABBA (English, Japanese)",Ravenscourt,https://store.playstation.com/en-hk/product/UP3763-CUSA33139_00-LSABBA00USA00PS4,0.5,308,154,14/2/2024 03:59 PM UTC,4.12,17,Music/Rhythm,04/10/2022,17
Let's Sing Queen (English),Ravenscourt,https://store.playstation.com/en-hk/product/EP3617-CUSA19526_00-LSQUEENGAME00000,0.5,308,154,14/2/2024 03:59 PM UTC,4.44,25,Unique,01/10/2020,25
Mighty No. 9 - Ray Expansion (English/Japanese Ver.),PLAION,https://store.playstation.com/en-hk/product/EP4062-CUSA02243_00-ASIA000000000003,0.85,41,6.15,14/2/2024 03:59 PM UTC,4.83,6,Action,21/06/2016,0
Mighty No. 9 - Retro Hero (English/Japanese Ver.),PLAION,https://store.playstation.com/en-hk/product/EP4062-CUSA02243_00-ASIA000000000006,0.85,23,3.45,14/2/2024 03:59 PM UTC,0,0,Action,24/08/2016,0
"Pathfinder: Kingmaker - Definitive Edition (Simplified Chinese, English, Japanese)",Deep Silver,https://store.playstation.com/en-hk/product/EP4062-CUSA15041_00-KINGMAKER0000000,0.8,308,61.6,14/2/2024 03:59 PM UTC,3.83,1.7k,Role Playing Games,17/08/2020,1700
"PAYDAY 3 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",PLAION,https://store.playstation.com/en-hk/product/UP8268-PPSA14410_00-PAYDAY3FULLGAME0,0.33,310,207.7,14/2/2024 03:59 PM UTC,3.27,5.6k,"Action, Shooter",21/09/2023,5600
"PAYDAY 3: Gold Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",PLAION,https://store.playstation.com/en-hk/product/UP8268-PPSA14410_00-PAYDAY3GOLDSIEA0,0.33,705,472.35,14/2/2024 03:59 PM UTC,3.27,5.6k,"Action, Shooter",21/09/2023,5600
"Relicta (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Ravenscourt,https://store.playstation.com/en-hk/product/EP3617-CUSA17918_00-ERELICTAMAINRV00,0.8,149,29.8,14/2/2024 03:59 PM UTC,4.11,174,Puzzle,04/08/2020,174
Wasteland 3 (English),PLAION,https://store.playstation.com/en-hk/product/EP4062-CUSA13339_00-WL3EUDEEPS000000,0.8,308,61.6,14/2/2024 03:59 PM UTC,4.25,1.8k,Role Playing Games,27/08/2020,1800
"Alice Gear AegisCS~Concerto of Simulatrix~ PS4 & PS5 (Simplified Chinese, Korean, Traditional Chinese)",SEGA CORPORATION,https://store.playstation.com/en-hk/product/HP0177-PPSA07180_00-ALICEGEARAEGISP5,0.5,398,199,14/2/2024 03:59 PM UTC,4.15,78,Action,07/09/2022,78
Catherine Full Body (Chinese/Korean Ver.),SEGA CORPORATION,https://store.playstation.com/en-hk/product/HP0177-CUSA14833_00-ASIAFULLGAME0000,0.6,428,171.2,14/2/2024 03:59 PM UTC,4.73,3k,Action,25/04/2019,3000
Catherine Fullbody PS Store Glamourous Edition (Chinese/Korean Ver.),SEGA CORPORATION,https://store.playstation.com/en-hk/product/HP0177-CUSA14833_00-ASIADX0000000000,0.6,728,291.2,14/2/2024 03:59 PM UTC,4.73,3k,Action,25/04/2019,3000
CLOSED NIGHTMARE (Chinese Ver.),SEGA CORPORATION,https://store.playstation.com/en-hk/product/HP0177-CUSA12334_00-CLOSEDNIGHTMARE0,0.6,428,171.2,14/2/2024 03:59 PM UTC,3.1,39,Adventure,19/07/2018,39
Company of Heroes 3 (English),SEGA EUROPE LTD,https://store.playstation.com/en-hk/product/EP0177-PPSA03261_00-COMPANYOFHEROES3,0.3,418,292.6,14/2/2024 03:59 PM UTC,4.07,628,Strategy,30/05/2023,628
Company of Heroes 3: Premium Edition (English),SEGA EUROPE LTD,https://store.playstation.com/en-hk/product/EP0177-PPSA03261_00-PREMIUMEDITION00,0.3,558,390.6,14/2/2024 03:59 PM UTC,4.07,628,Strategy,30/05/2023,628
